LOOSE PATHS IN THE CUBE HYPERGRAPH


EXPOSITION AND DEFINITIONS

Cube Hypergraph,"k-uniform d-regular hypergraph H(k,d) with vertices X^d, X={0,...,k-1}, and hyperedges {v_x:x in X}, where (v_x)_c=x, u=v_x o f_c and f_c:[d-1]->[d]\{c} is the enumeration, for all u in [k]^{d-1} and c in [d]"
Loose Hamilton path length (=hyperedge count),"m=(k^d-1)/(k-1)"
Minimum loose path (LP) length,"m_min=m-dmin"
Maximum LP length,"m_max=m-dmax"
Ordered LP,"A bijection v:[k^d]->[k]^d such that e_i={v_{1+(i-1)(k-1)},...,v_{1+i(k-1)}} is a hyperedge in H(k,d) for all i in {1,...,m'} with m' in [m_min,m_max]"
,"The starting point is v_1 and the end point is v_{1+m'(k-1)}"
Directed LP,"Directed LP for ordered LP v is (u_0,e_1,u_1,e_2,...,u_{m'-1},e_m',u_m'), where u_0=v_1, e_i from above and u_i=v_{1+i(k-1)}"
,"Starting point is u_0 and end point is u_m'"
Undirected LP,"Undirected LP for directed LP (u_0,e_1,...,e_m',u_m') is {(u_0,e_1,...,e_m',u_m'),(u_m',e_m',...,e_1,u_0)}"
,"End points are u_0 and u_m'"
Graph isomorphisms,"For each vertex v in H(k,d) fix an automorphism f_v:H(k,d)->H(k,d) that takes v to the origin"
,"Any directed LP with starting point v is taken to a directed LP with the origin as starting point under f_v"
Type 1 LPs,"Directed LP starting at the origin with the following properties"
,"Let i_j be the step where the j-th 0 was changed for the first time, e.g. i_1=1 because we change a coordinate of the origin in the first step and i_2=2 because we have to change another coordinate in the second step. Let c_j be the unique coordinate in which u_{i_j} and u_{i_j-1} differ. Then we have c_j=j for all j in [d]"
,"Let i_{c,j} be the step where u_i takes a value (in X) on coordinate c that has not appeared before (on coordinate c) for the j-th time. Let x_{c,j} be this new value. Then we have x_{c,j}=j for all j in [k-1] and all c in [d]"
Type 2 LPs,"A type 2 LP is a directed LP with the origin as starting point"
,"Equivalently, a type 2 LP is given by a type 1 LP, a bijection [d]->[d] to fix the order in which the coordinates are explored and d bijections [k-1]->[k-1] to fix the order in which the values are explored, per coordinate"
Type 3 LPs,"directed LPs or equivalently given by a pair of a type 2 LP and a starting point v (using the fixed isomorphism f_v from above)"

RESULTS

k,4
d,4
#vertices,256
#edges,256
m,85
m_min,85
m_max,85
Type 2 LPs per Type 1 LP,31104
Type 3 LPs per Type 2 LP,256
Type 3 LPs per Type 1 LP,7962624

TYPE 1 LPS (displayed as ordered LPs)

Length,v[0],v[1],v[2],v[3],v[4],v[5],v[6],v[7],v[8],v[9],v[10],v[11],v[12],v[13],v[14],v[15],v[16],v[17],v[18],v[19],v[20],v[21],v[22],v[23],v[24],v[25],v[26],v[27],v[28],v[29],v[30],v[31],v[32],v[33],v[34],v[35],v[36],v[37],v[38],v[39],v[40],v[41],v[42],v[43],v[44],v[45],v[46],v[47],v[48],v[49],v[50],v[51],v[52],v[53],v[54],v[55],v[56],v[57],v[58],v[59],v[60],v[61],v[62],v[63],v[64],v[65],v[66],v[67],v[68],v[69],v[70],v[71],v[72],v[73],v[74],v[75],v[76],v[77],v[78],v[79],v[80],v[81],v[82],v[83],v[84],v[85],v[86],v[87],v[88],v[89],v[90],v[91],v[92],v[93],v[94],v[95],v[96],v[97],v[98],v[99],v[100],v[101],v[102],v[103],v[104],v[105],v[106],v[107],v[108],v[109],v[110],v[111],v[112],v[113],v[114],v[115],v[116],v[117],v[118],v[119],v[120],v[121],v[122],v[123],v[124],v[125],v[126],v[127],v[128],v[129],v[130],v[131],v[132],v[133],v[134],v[135],v[136],v[137],v[138],v[139],v[140],v[141],v[142],v[143],v[144],v[145],v[146],v[147],v[148],v[149],v[150],v[151],v[152],v[153],v[154],v[155],v[156],v[157],v[158],v[159],v[160],v[161],v[162],v[163],v[164],v[165],v[166],v[167],v[168],v[169],v[170],v[171],v[172],v[173],v[174],v[175],v[176],v[177],v[178],v[179],v[180],v[181],v[182],v[183],v[184],v[185],v[186],v[187],v[188],v[189],v[190],v[191],v[192],v[193],v[194],v[195],v[196],v[197],v[198],v[199],v[200],v[201],v[202],v[203],v[204],v[205],v[206],v[207],v[208],v[209],v[210],v[211],v[212],v[213],v[214],v[215],v[216],v[217],v[218],v[219],v[220],v[221],v[222],v[223],v[224],v[225],v[226],v[227],v[228],v[229],v[230],v[231],v[232],v[233],v[234],v[235],v[236],v[237],v[238],v[239],v[240],v[241],v[242],v[243],v[244],v[245],v[246],v[247],v[248],v[249],v[250],v[251],v[252],v[253],v[254],v[255]
